ontology	gene_id	kegg_ID	kegg_name	evidence
kegg	ABCG5	hsa04976	"Bile secretion"	
kegg	ABCG8	hsa02010	"ABC transporters"	
kegg	ABCG8	hsa04975	"Fat digestion and absorption"	
kegg	ABCG8	hsa04976	"Bile secretion"	
kegg	ABI2	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ABL1	hsa04012	"ErbB signaling pathway"	
kegg	ABL1	hsa04110	"Cell cycle"	
kegg	ABL1	hsa04360	"Axon guidance"	
kegg	ABL1	hsa04722	"Neurotrophin signaling pathway"	
kegg	ABL1	hsa05130	"Pathogenic Escherichia coli infection"	
kegg	ABL1	hsa05131	Shigellosis	
kegg	ABL1	hsa05200	"Pathways in cancer"	
kegg	ABL1	hsa05220	"Chronic myeloid leukemia"	
kegg	ABL1	hsa05416	"Viral myocarditis"	
kegg	ABL2	hsa04012	"ErbB signaling pathway"	
kegg	ABL2	hsa05416	"Viral myocarditis"	
kegg	ABLIM1	hsa04360	"Axon guidance"	
kegg	ABLIM2	hsa04360	"Axon guidance"	
kegg	ABLIM3	hsa04360	"Axon guidance"	
kegg	ABO	hsa00601	"Glycosphingolipid biosynthesis - lacto and neolacto series"	
kegg	ABO	hsa01100	"Metabolic pathways"	
kegg	ABP1	hsa00330	"Arginine and proline metabolism"	
kegg	ABP1	hsa00340	"Histidine metabolism"	
kegg	ABP1	hsa00380	"Tryptophan metabolism"	
kegg	AC104389.28	hsa04740	"Olfactory transduction"	
kegg	ACAA1	hsa00071	"Fatty acid metabolism"	
kegg	ACAA1	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACAA1	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACAA1	hsa01100	"Metabolic pathways"	
kegg	ACAA1	hsa03320	"PPAR signaling pathway"	
kegg	ACAA1	hsa04146	Peroxisome	
kegg	ACAA2	hsa00062	"Fatty acid elongation in mitochondria"	
kegg	ACAA2	hsa00071	"Fatty acid metabolism"	
kegg	ACAA2	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACAA2	hsa01100	"Metabolic pathways"	
kegg	ACACA	hsa00061	"Fatty acid biosynthesis"	
kegg	ACACA	hsa00620	"Pyruvate metabolism"	
kegg	ACACA	hsa00640	"Propanoate metabolism"	
kegg	ACACA	hsa01100	"Metabolic pathways"	
kegg	ACACA	hsa04910	"Insulin signaling pathway"	
kegg	ACACB	hsa00061	"Fatty acid biosynthesis"	
kegg	ACACB	hsa00620	"Pyruvate metabolism"	
kegg	ACACB	hsa00640	"Propanoate metabolism"	
kegg	ACACB	hsa01100	"Metabolic pathways"	
kegg	ACACB	hsa04910	"Insulin signaling pathway"	
kegg	ACACB	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACADL	hsa00071	"Fatty acid metabolism"	
kegg	ACADL	hsa01100	"Metabolic pathways"	
kegg	ACADL	hsa03320	"PPAR signaling pathway"	
kegg	ACADM	hsa00071	"Fatty acid metabolism"	
kegg	ACADM	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACADM	hsa00410	"beta-Alanine metabolism"	
kegg	ACADM	hsa00640	"Propanoate metabolism"	
kegg	ACADM	hsa01100	"Metabolic pathways"	
kegg	ACADM	hsa03320	"PPAR signaling pathway"	
kegg	ACADS	hsa00071	"Fatty acid metabolism"	
kegg	ACADS	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACADS	hsa00650	"Butanoate metabolism"	
kegg	ACADS	hsa01100	"Metabolic pathways"	
kegg	ACADVL	hsa00071	"Fatty acid metabolism"	
kegg	ACADVL	hsa01100	"Metabolic pathways"	
kegg	ACAP1	hsa04144	Endocytosis	
kegg	ACAP2	hsa04144	Endocytosis	
kegg	ACAP3	hsa04144	Endocytosis	
kegg	ACAT1	hsa00071	"Fatty acid metabolism"	
kegg	ACAT1	hsa00072	"Synthesis and degradation of ketone bodies"	
kegg	ACAT1	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACAT1	hsa00310	"Lysine degradation"	
kegg	ACAT1	hsa00380	"Tryptophan metabolism"	
kegg	ACAT1	hsa00620	"Pyruvate metabolism"	
kegg	ACAT1	hsa00630	"Glyoxylate and dicarboxylate metabolism"	
kegg	ACAT1	hsa00640	"Propanoate metabolism"	
kegg	ACAT1	hsa00650	"Butanoate metabolism"	
kegg	ACAT1	hsa00900	"Terpenoid backbone biosynthesis"	
kegg	ACAT1	hsa01100	"Metabolic pathways"	
kegg	ACAT2	hsa00071	"Fatty acid metabolism"	
kegg	ACAT2	hsa00072	"Synthesis and degradation of ketone bodies"	
kegg	ACAT2	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ACAT2	hsa00310	"Lysine degradation"	
kegg	ACAT2	hsa00380	"Tryptophan metabolism"	
kegg	ACAT2	hsa00620	"Pyruvate metabolism"	
kegg	ACAT2	hsa00630	"Glyoxylate and dicarboxylate metabolism"	
kegg	ACAT2	hsa00640	"Propanoate metabolism"	
kegg	ACAT2	hsa00650	"Butanoate metabolism"	
kegg	ACAT2	hsa00900	"Terpenoid backbone biosynthesis"	
kegg	ACAT2	hsa01100	"Metabolic pathways"	
kegg	ACAT2	hsa04975	"Fat digestion and absorption"	
kegg	ACE	hsa04614	"Renin-angiotensin system"	
kegg	ACE	hsa05142	"Chagas disease (American trypanosomiasis)"	
kegg	ACE	hsa05410	"Hypertrophic cardiomyopathy (HCM)"	
kegg	ACE2	hsa04614	"Renin-angiotensin system"	
kegg	ACE2	hsa04974	"Protein digestion and absorption"	
kegg	ACER1	hsa00600	"Sphingolipid metabolism"	
kegg	ACER1	hsa01100	"Metabolic pathways"	
kegg	ACER2	hsa00600	"Sphingolipid metabolism"	
kegg	ACER2	hsa01100	"Metabolic pathways"	
kegg	ACER3	hsa00600	"Sphingolipid metabolism"	
kegg	ACHE	hsa00564	"Glycerophospholipid metabolism"	
kegg	ACIN1	hsa03013	"RNA transport"	
kegg	ACIN1	hsa03015	"mRNA surveillance pathway"	
kegg	ACIN1	hsa03040	Spliceosome	
kegg	ACLY	hsa00020	"Citrate cycle (TCA cycle)"	
kegg	ACLY	hsa01100	"Metabolic pathways"	
kegg	ACMSD	hsa00380	"Tryptophan metabolism"	
kegg	ACMSD	hsa01100	"Metabolic pathways"	
kegg	ACO1	hsa00020	"Citrate cycle (TCA cycle)"	
kegg	ACO1	hsa00630	"Glyoxylate and dicarboxylate metabolism"	
kegg	ACO1	hsa01100	"Metabolic pathways"	
kegg	ACO2	hsa00020	"Citrate cycle (TCA cycle)"	
kegg	ACO2	hsa00630	"Glyoxylate and dicarboxylate metabolism"	
kegg	ACO2	hsa01100	"Metabolic pathways"	
kegg	ACOT1	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOT12	hsa00620	"Pyruvate metabolism"	
kegg	ACOT2	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOT4	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOT7	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOT8	hsa04146	Peroxisome	
kegg	ACOX1	hsa00071	"Fatty acid metabolism"	
kegg	ACOX1	hsa00592	"alpha-Linolenic acid metabolism"	
kegg	ACOX1	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOX1	hsa01100	"Metabolic pathways"	
kegg	ACOX1	hsa03320	"PPAR signaling pathway"	
kegg	ACOX1	hsa04146	Peroxisome	
kegg	ACOX2	hsa00120	"Primary bile acid biosynthesis"	
kegg	ACOX2	hsa01100	"Metabolic pathways"	
kegg	ACOX2	hsa03320	"PPAR signaling pathway"	
kegg	ACOX2	hsa04146	Peroxisome	
kegg	ACOX3	hsa00071	"Fatty acid metabolism"	
kegg	ACOX3	hsa00592	"alpha-Linolenic acid metabolism"	
kegg	ACOX3	hsa01040	"Biosynthesis of unsaturated fatty acids"	
kegg	ACOX3	hsa01100	"Metabolic pathways"	
kegg	ACOX3	hsa03320	"PPAR signaling pathway"	
kegg	ACOX3	hsa04146	Peroxisome	
kegg	ACP1	hsa00740	"Riboflavin metabolism"	
kegg	ACP1	hsa04520	"Adherens junction"	
kegg	ACP2	hsa00740	"Riboflavin metabolism"	
kegg	ACP2	hsa04142	Lysosome	
kegg	ACP5	hsa00740	"Riboflavin metabolism"	
kegg	ACP5	hsa04142	Lysosome	
kegg	ACP5	hsa04380	"Osteoclast differentiation"	
kegg	ACP5	hsa05323	"Rheumatoid arthritis"	
kegg	ACP6	hsa00740	"Riboflavin metabolism"	
kegg	ACPP	hsa00740	"Riboflavin metabolism"	
kegg	ACPT	hsa00740	"Riboflavin metabolism"	
kegg	ACSBG2	hsa00071	"Fatty acid metabolism"	
kegg	ACSBG2	hsa01100	"Metabolic pathways"	
kegg	ACSBG2	hsa03320	"PPAR signaling pathway"	
kegg	ACSBG2	hsa04146	Peroxisome	
kegg	ACSBG2	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSL1	hsa00071	"Fatty acid metabolism"	
kegg	ACSL1	hsa01100	"Metabolic pathways"	
kegg	ACSL1	hsa03320	"PPAR signaling pathway"	
kegg	ACSL1	hsa04146	Peroxisome	
kegg	ACSL1	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSL3	hsa00071	"Fatty acid metabolism"	
kegg	ACSL3	hsa01100	"Metabolic pathways"	
kegg	ACSL3	hsa03320	"PPAR signaling pathway"	
kegg	ACSL3	hsa04146	Peroxisome	
kegg	ACSL3	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSL4	hsa00071	"Fatty acid metabolism"	
kegg	ACSL4	hsa01100	"Metabolic pathways"	
kegg	ACSL4	hsa03320	"PPAR signaling pathway"	
kegg	ACSL4	hsa04146	Peroxisome	
kegg	ACSL4	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSL5	hsa00071	"Fatty acid metabolism"	
kegg	ACSL5	hsa01100	"Metabolic pathways"	
kegg	ACSL5	hsa03320	"PPAR signaling pathway"	
kegg	ACSL5	hsa04146	Peroxisome	
kegg	ACSL5	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSL6	hsa00071	"Fatty acid metabolism"	
kegg	ACSL6	hsa01100	"Metabolic pathways"	
kegg	ACSL6	hsa03320	"PPAR signaling pathway"	
kegg	ACSL6	hsa04146	Peroxisome	
kegg	ACSL6	hsa04920	"Adipocytokine signaling pathway"	
kegg	ACSM1	hsa00650	"Butanoate metabolism"	
kegg	ACSM1	hsa01100	"Metabolic pathways"	
kegg	ACSM2A	hsa00650	"Butanoate metabolism"	
kegg	ACSM2A	hsa01100	"Metabolic pathways"	
kegg	ACSM2B	hsa00650	"Butanoate metabolism"	
kegg	ACSM2B	hsa01100	"Metabolic pathways"	
kegg	ACSM3	hsa00650	"Butanoate metabolism"	
kegg	ACSM3	hsa01100	"Metabolic pathways"	
kegg	ACSM4	hsa00650	"Butanoate metabolism"	
kegg	ACSM4	hsa01100	"Metabolic pathways"	
kegg	ACSM5	hsa00650	"Butanoate metabolism"	
kegg	ACSM5	hsa01100	"Metabolic pathways"	
kegg	ACSS1	hsa00010	"Glycolysis / Gluconeogenesis"	
kegg	ACSS1	hsa00620	"Pyruvate metabolism"	
kegg	ACSS1	hsa00640	"Propanoate metabolism"	
kegg	ACSS1	hsa01100	"Metabolic pathways"	
kegg	ACSS2	hsa00010	"Glycolysis / Gluconeogenesis"	
kegg	ACSS2	hsa00620	"Pyruvate metabolism"	
kegg	ACSS2	hsa00640	"Propanoate metabolism"	
kegg	ACSS2	hsa01100	"Metabolic pathways"	
kegg	ACSS3	hsa00640	"Propanoate metabolism"	
kegg	ACSS3	hsa01100	"Metabolic pathways"	
kegg	ACTA2	hsa04270	"Vascular smooth muscle contraction"	
kegg	ACTC1	hsa04260	"Cardiac muscle contraction"	
kegg	ACTC1	hsa05410	"Hypertrophic cardiomyopathy (HCM)"	
kegg	ACTC1	hsa05414	"Dilated cardiomyopathy"	
kegg	ACTG1	hsa04145	Phagosome	
kegg	ACTG1	hsa04510	"Focal adhesion"	
kegg	ACTG1	hsa04520	"Adherens junction"	
kegg	ACTG1	hsa04530	"Tight junction"	
kegg	ACTG1	hsa04670	"Leukocyte transendothelial migration"	
kegg	ACTG1	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ACTG1	hsa05100	"Bacterial invasion of epithelial cells"	
kegg	ACTG1	hsa05110	"Vibrio cholerae infection"	
kegg	ACTG1	hsa05130	"Pathogenic Escherichia coli infection"	
kegg	ACTG1	hsa05131	Shigellosis	
kegg	ACTG1	hsa05410	"Hypertrophic cardiomyopathy (HCM)"	
kegg	ACTG1	hsa05412	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	
kegg	ACTG1	hsa05414	"Dilated cardiomyopathy"	
kegg	ACTG1	hsa05416	"Viral myocarditis"	
kegg	ACTG2	hsa04270	"Vascular smooth muscle contraction"	
kegg	ACTN1	hsa04510	"Focal adhesion"	
kegg	ACTN1	hsa04520	"Adherens junction"	
kegg	ACTN1	hsa04530	"Tight junction"	
kegg	ACTN1	hsa04670	"Leukocyte transendothelial migration"	
kegg	ACTN1	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ACTN1	hsa05146	Amoebiasis	
kegg	ACTN1	hsa05322	"Systemic lupus erythematosus"	
kegg	ACTN1	hsa05412	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	
kegg	ACTN2	hsa04510	"Focal adhesion"	
kegg	ACTN2	hsa04520	"Adherens junction"	
kegg	ACTN2	hsa04530	"Tight junction"	
kegg	ACTN2	hsa04670	"Leukocyte transendothelial migration"	
kegg	ACTN2	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ACTN2	hsa05146	Amoebiasis	
kegg	ACTN2	hsa05322	"Systemic lupus erythematosus"	
kegg	ACTN2	hsa05412	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	
kegg	ACTN3	hsa04510	"Focal adhesion"	
kegg	ACTN3	hsa04520	"Adherens junction"	
kegg	ACTN3	hsa04530	"Tight junction"	
kegg	ACTN3	hsa04670	"Leukocyte transendothelial migration"	
kegg	ACTN3	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ACTN3	hsa05146	Amoebiasis	
kegg	ACTN3	hsa05322	"Systemic lupus erythematosus"	
kegg	ACTN3	hsa05412	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	
kegg	ACTN4	hsa04510	"Focal adhesion"	
kegg	ACTN4	hsa04520	"Adherens junction"	
kegg	ACTN4	hsa04530	"Tight junction"	
kegg	ACTN4	hsa04670	"Leukocyte transendothelial migration"	
kegg	ACTN4	hsa04810	"Regulation of actin cytoskeleton"	
kegg	ACTN4	hsa05146	Amoebiasis	
kegg	ACTN4	hsa05322	"Systemic lupus erythematosus"	
kegg	ACTN4	hsa05412	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	
kegg	ACVR1	hsa04060	"Cytokine-cytokine receptor interaction"	
kegg	ACVR1	hsa04350	"TGF-beta signaling pathway"	
kegg	ACVR1B	hsa04060	"Cytokine-cytokine receptor interaction"	
kegg	ACVR1C	hsa04350	"TGF-beta signaling pathway"	
kegg	ACVR2A	hsa04060	"Cytokine-cytokine receptor interaction"	
kegg	ACVR2A	hsa04350	"TGF-beta signaling pathway"	
kegg	ACVR2B	hsa04060	"Cytokine-cytokine receptor interaction"	
kegg	ACVR2B	hsa04350	"TGF-beta signaling pathway"	
kegg	ACY1	hsa00330	"Arginine and proline metabolism"	
kegg	ACY1	hsa01100	"Metabolic pathways"	
kegg	ACY3	hsa00250	"Alanine, aspartate and glutamate metabolism"	
kegg	ACY3	hsa00340	"Histidine metabolism"	
kegg	ACYP1	hsa00620	"Pyruvate metabolism"	
kegg	ACYP2	hsa00620	"Pyruvate metabolism"	
kegg	ADAM10	hsa05010	"Alzheimer's disease"	
kegg	ADAM10	hsa05120	"Epithelial cell signaling in Helicobacter pylori infection"	
kegg	ADAM17	hsa04330	"Notch signaling pathway"	
kegg	ADAM17	hsa05010	"Alzheimer's disease"	
kegg	ADAM17	hsa05120	"Epithelial cell signaling in Helicobacter pylori infection"	
kegg	ADAR	hsa04623	"Cytosolic DNA-sensing pathway"	
kegg	ADC	hsa00330	"Arginine and proline metabolism"	
kegg	ADC	hsa01100	"Metabolic pathways"	
kegg	ADCY1	hsa00230	"Purine metabolism"	
kegg	ADCY1	hsa04020	"Calcium signaling pathway"	
kegg	ADCY1	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY1	hsa04114	"Oocyte meiosis"	
kegg	ADCY1	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY1	hsa04540	"Gap junction"	
kegg	ADCY1	hsa04720	"Long-term potentiation"	
kegg	ADCY1	hsa04912	"GnRH signaling pathway"	
kegg	ADCY1	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY1	hsa04916	Melanogenesis	
kegg	ADCY1	hsa04970	"Salivary secretion"	
kegg	ADCY1	hsa04971	"Gastric acid secretion"	
kegg	ADCY1	hsa04972	"Pancreatic secretion"	
kegg	ADCY1	hsa04976	"Bile secretion"	
kegg	ADCY1	hsa05142	"Chagas disease (American trypanosomiasis)"	
kegg	ADCY1	hsa05146	Amoebiasis	
kegg	ADCY1	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY10	hsa00230	"Purine metabolism"	
kegg	ADCY2	hsa00230	"Purine metabolism"	
kegg	ADCY2	hsa04020	"Calcium signaling pathway"	
kegg	ADCY2	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY2	hsa04114	"Oocyte meiosis"	
kegg	ADCY2	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY2	hsa04540	"Gap junction"	
kegg	ADCY2	hsa04912	"GnRH signaling pathway"	
kegg	ADCY2	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY2	hsa04916	Melanogenesis	
kegg	ADCY2	hsa04970	"Salivary secretion"	
kegg	ADCY2	hsa04971	"Gastric acid secretion"	
kegg	ADCY2	hsa04972	"Pancreatic secretion"	
kegg	ADCY2	hsa04976	"Bile secretion"	
kegg	ADCY2	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY3	hsa00230	"Purine metabolism"	
kegg	ADCY3	hsa04020	"Calcium signaling pathway"	
kegg	ADCY3	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY3	hsa04114	"Oocyte meiosis"	
kegg	ADCY3	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY3	hsa04540	"Gap junction"	
kegg	ADCY3	hsa04740	"Olfactory transduction"	
kegg	ADCY3	hsa04912	"GnRH signaling pathway"	
kegg	ADCY3	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY3	hsa04916	Melanogenesis	
kegg	ADCY3	hsa04962	"Vasopressin-regulated water reabsorption"	
kegg	ADCY3	hsa04970	"Salivary secretion"	
kegg	ADCY3	hsa04971	"Gastric acid secretion"	
kegg	ADCY3	hsa04972	"Pancreatic secretion"	
kegg	ADCY3	hsa04976	"Bile secretion"	
kegg	ADCY3	hsa05110	"Vibrio cholerae infection"	
kegg	ADCY3	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY4	hsa00230	"Purine metabolism"	
kegg	ADCY4	hsa04020	"Calcium signaling pathway"	
kegg	ADCY4	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY4	hsa04114	"Oocyte meiosis"	
kegg	ADCY4	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY4	hsa04540	"Gap junction"	
kegg	ADCY4	hsa04742	"Taste transduction"	
kegg	ADCY4	hsa04912	"GnRH signaling pathway"	
kegg	ADCY4	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY4	hsa04916	Melanogenesis	
kegg	ADCY4	hsa04970	"Salivary secretion"	
kegg	ADCY4	hsa04971	"Gastric acid secretion"	
kegg	ADCY4	hsa04972	"Pancreatic secretion"	
kegg	ADCY4	hsa04976	"Bile secretion"	
kegg	ADCY4	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY5	hsa00230	"Purine metabolism"	
kegg	ADCY5	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY5	hsa04114	"Oocyte meiosis"	
kegg	ADCY5	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY5	hsa04540	"Gap junction"	
kegg	ADCY5	hsa04912	"GnRH signaling pathway"	
kegg	ADCY5	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY5	hsa04916	Melanogenesis	
kegg	ADCY5	hsa04970	"Salivary secretion"	
kegg	ADCY5	hsa04971	"Gastric acid secretion"	
kegg	ADCY5	hsa04972	"Pancreatic secretion"	
kegg	ADCY5	hsa04976	"Bile secretion"	
kegg	ADCY5	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY6	hsa00230	"Purine metabolism"	
kegg	ADCY6	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY6	hsa04114	"Oocyte meiosis"	
kegg	ADCY6	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY6	hsa04540	"Gap junction"	
kegg	ADCY6	hsa04742	"Taste transduction"	
kegg	ADCY6	hsa04912	"GnRH signaling pathway"	
kegg	ADCY6	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY6	hsa04916	Melanogenesis	
kegg	ADCY6	hsa04962	"Vasopressin-regulated water reabsorption"	
kegg	ADCY6	hsa04970	"Salivary secretion"	
kegg	ADCY6	hsa04971	"Gastric acid secretion"	
kegg	ADCY6	hsa04972	"Pancreatic secretion"	
kegg	ADCY6	hsa04976	"Bile secretion"	
kegg	ADCY6	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY7	hsa00230	"Purine metabolism"	
kegg	ADCY7	hsa04020	"Calcium signaling pathway"	
kegg	ADCY7	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY7	hsa04114	"Oocyte meiosis"	
kegg	ADCY7	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY7	hsa04540	"Gap junction"	
kegg	ADCY7	hsa04912	"GnRH signaling pathway"	
kegg	ADCY7	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY7	hsa04916	Melanogenesis	
kegg	ADCY7	hsa04970	"Salivary secretion"	
kegg	ADCY7	hsa04971	"Gastric acid secretion"	
kegg	ADCY7	hsa04972	"Pancreatic secretion"	
kegg	ADCY7	hsa04976	"Bile secretion"	
kegg	ADCY7	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY8	hsa00230	"Purine metabolism"	
kegg	ADCY8	hsa04020	"Calcium signaling pathway"	
kegg	ADCY8	hsa04062	"Chemokine signaling pathway"	
kegg	ADCY8	hsa04114	"Oocyte meiosis"	
kegg	ADCY8	hsa04270	"Vascular smooth muscle contraction"	
kegg	ADCY8	hsa04540	"Gap junction"	
kegg	ADCY8	hsa04720	"Long-term potentiation"	
kegg	ADCY8	hsa04742	"Taste transduction"	
kegg	ADCY8	hsa04912	"GnRH signaling pathway"	
kegg	ADCY8	hsa04914	"Progesterone-mediated oocyte maturation"	
kegg	ADCY8	hsa04916	Melanogenesis	
kegg	ADCY8	hsa04970	"Salivary secretion"	
kegg	ADCY8	hsa04971	"Gastric acid secretion"	
kegg	ADCY8	hsa04972	"Pancreatic secretion"	
kegg	ADCY8	hsa04976	"Bile secretion"	
kegg	ADCY8	hsa05414	"Dilated cardiomyopathy"	
kegg	ADCY9	hsa00230	"Purine metabolism"	
kegg	ADCY9	hsa04020	"Calcium signaling pathway"	
kegg	ADCY9	hsa04062	"Chemokine signaling pathway"	
